opp_id,policy,threshold,complexity_score,probability,strategic_account,tier,reason,evidence,changed_vs_reference
OPP-001,adaptive,0.98,0,0.99,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.99, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-002,adaptive,0.98,4,0.52,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-003,adaptive,0.98,3,0.58,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-004,adaptive,0.98,2,0.05,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.05, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-005,adaptive,0.98,2,0.08,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.08, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-006,adaptive,0.98,0,0.97,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-007,adaptive,0.98,0,0.96,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 0, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-008,adaptive,0.98,4,0.93,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-009,adaptive,0.98,1,0.92,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-010,adaptive,0.98,0,0.91,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-011,adaptive,0.98,0,0.98,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.98, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-012,adaptive,0.98,4,0.45,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-013,adaptive,0.98,4,0.6,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
