opp_id,name,amount,probability,stage,strategic_account,no_economic_buyer,competitor_present,security_legal_blocked,procurement_not_started,champion_risk,inactive_21d,conflicting_signals,days_since_activity,close_date,notes
OPP-001,Meridian Health -- Platform Renewal,5200000,0.99,CONTRACT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2026-08-28,"Legal review complete, MSA redlines signed off 8/2. PO already raised in their system. CFO sponsored the renewal in the QBR. No competing vendor in the account. Rep expects countersignature this month."
OPP-002,Northwind Logistics -- Analytics Expansion,400000,0.52,PROPOSAL,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,9,2026-10-30,"Security review stalled three weeks on data residency question, no ETA from their InfoSec. Champion (Dir of Ops) is enthusiastic but VP Finance has not joined any call. Procurement portal registration not started. DataRival named by procurement as a reference bid they intend to collect."
OPP-003,Castellan Insurance -- Claims AI Pilot,750000,0.58,NEGOTIATION,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,2026-11-13,Stage says negotiation but no commercial terms have actually been discussed. Champion moved into a new role with narrower budget authority mid-cycle. Claims VP wants full-department rollout; IT sponsor insists on a 10-seat pilot only -- the two have not reconciled scope. Incumbent vendor's renewal is running in parallel.
OPP-004,Quarry Steel -- Data Platform,900000,0.05,DISCOVERY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,44,2026-09-25,Champion resigned in June and joined a competitor. No response to three follow-ups since 6/23. Deal kept open at rep's request pending one final executive email.
OPP-005,Bluewater Resorts -- POS Analytics,150000,0.08,QUALIFICATION,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,2026-09-18,"Initial demo went fine but budget owner never identified. Contact went quiet after 7/6; two nudges unanswered. Seasonal business -- they may re-engage after peak season, not before close date."
OPP-006,Halberd Financial -- License Renewal,1100000,0.97,CONTRACT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2026-08-31,"Renewal paper with their legal for signature routing, expected back within two weeks. Usage grew 22% YoY, no open support escalations, no competitor activity."
OPP-007,Sierra Foods -- Renewal + Seat Expansion,680000,0.96,CONTRACT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2026-09-11,Named strategic account. Renewal plus 40-seat expansion verbally agreed with the COO; order form in their signature queue. Pricing already approved on our side.
OPP-008,Atlas Freight -- Enterprise Rollout,2400000,0.93,NEGOTIATION,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,7,2026-10-16,"Rep has probability at 93% after exec dinner, but security architecture review is unfinished, procurement intake not filed, and RivalCo was on-site last month -- the CRM optimism and the open blockers do not tell the same story. Probable and messy at the same time."
OPP-009,Pinnacle Media -- Contract Renewal,320000,0.92,CONTRACT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,24,2026-09-04,"Auto-renewal language in current contract; customer historically signs late with no drama. Nothing from their side in three-plus weeks, which matches last year's pattern rather than signaling a problem."
OPP-010,Redwood Biotech -- Data Cloud Renewal,540000,0.91,CONTRACT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2026-09-30,"Renewal confirmed verbally by IT director; waiting on their new fiscal-year budget code to process the order. Support tickets trending down, adoption steady."
